"Hospitales","Aeronáutica (FAP)","513-5300"
"Hospitales","Arzobispo Loayza","431-3799"
"Hospitales","Cayetano Heredia (Ex Rimac)","482-0402"
"Hospitales","Centro Médico Naval","613-7600"
"Hospitales","Daniel A. Carrión","429-6068"
"Hospitales","De Policía","463-0011"
"Hospitales","Dos de Mayo","328-1340"
"Hospitales","Edgardo Rebagliati Martins","265-4901"
"Hospitales","Guillermo Almenara Irigoyen","324-2983"
"Hospitales","Hipólito Unanue","362-7777"
"Hospitales","Hogar Clínica San Juan de Dios","326-0945"
"Hospitales","Instituto Especializado Salud del Niño","330-0066"
"Hospitales","Inst. Nac. De Ciencias neurológicas Sto. Toribio","411-7700"
"Hospitales","Inst. Nac. De Enfermedades Neoplásicas",2016500
"Hospitales","Instituto Nacional de Oftalmología","202-9060"
"Hospitales","Jose Casimiro Ulloa","204-0900"
"Hospitales","Maternidad de Lima","328-1003"
"Hospitales","Militar","219-3500"
"Hospitales","San José-Callao","319-7830"
"Hospitales","Santa Rosa","615-8200"
"Hospitales","Sergio Bernales (Ex Collique)","558-0186"
"Hospitales","Victor Larco Herrera","261-5516"
